avg07
825.919
819.417
805.088
794.431
789.292
789.806
791.483
789.066
790.963
789.112
787.477
790.009
782.396
775.994
754.139
757.383
752.218
749.865
745.196
748.123
745.38
749.788
749.955
753.157
754.604
753.98
754.86
752.053
747.02
762.895
771.41
777.499
778.831
781.028
778.877
779.09
780.374
777.97
776.554
775.425
774.102
774.695
773.141
773.18
772.265
774.881
774.724
768.279
765.109
756.348
752.171
745.257
750.637
749.902
751.488
758.691
765.643
769.931
774.556
773.255
775.353
771.539
771.59
772.21
771.495
771.174
771.254
770.505
770.582
769.393
770.73
770.388
770.946
771.483
768.395
772.734
773.147
767.101
762.638
757.797
748.21
747.05
747.541
747.011
750.232
753.43
757.175
761.126
763.117
766.106
767.608
767.733
766.906
767.573
767.427
768.406
769.218
769.897
770.17
769.48
767.785
767.577
767.102
766.964
763.89
761.557
759.956
760.767
757.428
755.292
756.031
756.967
760.023
762.085
763.454
763.383
763.427
764.806
765.53
766.901
766.016
766.526
765.931
766.715
765.655
765.522
765.828
765.959
766.016
765.696
764.867
764.739
764.167
762.491
761.749
759.578
757.793
755.518
751.531
754.977
750.907
752.058
755.532
756.694
753.449
755.309
757.649
758.57
758.202
759.284
760.624
761.359
762.379
760.891
761.066
759.805
758.927
758.513
757.216
755.173
752.828
752.368
752.762
754.036
757.13
758.994
758.926
759.982
759.314
759.866
759.094
760.643
761.604
762.029
762.053
761.327
759.921
759.447
759.122
758.163
757.554
756.947
756.177
754.448
754.177
752.231
750.23
749.139
748.999
751.012
752.525
753.459
755.614
757.71
758.363
758.088
758.393
758.803
758.36
756.094
755.15
754.393
754.019
752.383
750.548
747.264
744.409
742.038
741.725
741.583
743.998
747.702
751.183
752.794
755.482
755.962
755.719
756.584
757.139
756.767
757.497
757.478
757.101
756.874
755.754
754.853
754.872
755.977
756.964
756.823
757.056
755.294
755.35
755.239
754.903
754.795
753.597
751.969
752.099
751.929
752.345
753.639
755.202
756.587
758.728
759.117
760.158
760.805
761.177
760.591
759.491
758.396
759.452
759.865
758.295
759.752
760.167
760.271
759.532
758.344
755.479
753.145
750.857
748.21
745.405
746.694
750.499
755.417
758.399
761.046
762.955
763.481
763.798
764.341
764.568
763.871
762.949
761.654
762.236
761.271
760.459
759.47
758.401
757.802
756.511
755.855
754.96
753.763
753.154
751.499
750.282
750.267
750.455
751.613
752.704
755.153
757.269
758.529
758.125
760.35
761.714
762.063
762.452
763.388
763.809
765.11
765.053
761.136
760
757.197
