intermediate
558.042
687.814
687.814
681.703
674.278
674.278
673.537
673.537
673.861
672.872
672.872
669.423
669.423
668.866
671.54
671.54
668.757
668.757
671.994
670.582
670.582
673.373
673.373
676.273
678.334
678.334
680.502
680.502
686.232
685.839
685.839
689.51
689.51
695.173
695.727
695.727
695.22
695.22
699.856
702.401
702.401
699.799
699.799
696.913
697.147
697.147
700.478
700.478
698.264
700.888
700.888
701.446
701.446
703.05
698.287
698.287
699.37
699.37
700.009
702.668
702.668
699.483
699.483
699.295
702.302
702.302
700.631
700.631
699.037
695.64
695.64
698.937
698.937
697.626
696.686
696.686
698.673
698.673
697.925
695.165
695.165
692.597
692.597
695.157
694.068
694.068
691.273
691.273
689.182
689.303
689.303
692.681
692.681
691.028
690.689
690.689
693.054
693.054
692.494
692.244
692.244
689.174
689.174
694.332
692.506
692.506
689.902
689.902
692.371
692.361
692.361
693.015
693.015
689.982
689.977
689.977
691.693
691.693
693.563
691.94
691.94
690.933
690.933
695.05
694.4
694.4
690.768
690.768
692.633
693.753
693.753
695.073
695.073
692.012
694.863
694.863
696.873
696.873
694.076
692.289
692.289
692.547
692.547
696.016
694.317
694.317
692.655
692.655
694.557
695.809
695.809
695.907
695.907
693.024
696.465
696.465
696.216
696.216
693.84
693.926
693.926
696.029
696.029
696.022
693.281
693.281
694.809
694.809
696.947
697.199
697.199
693.391
693.391
693.297
694.867
694.867
694.949
694.949
692.314
692.959
692.959
695.145
695.145
695.588
692.228
692.228
693.933
693.933
695.731
694.565
694.565
691.885
691.885
693.727
695.869
695.869
694.482
694.482
691.975
694.31
694.31
696.101
696.101
693.238
691.023
691.023
693.941
693.941
695.127
692.862
692.862
690.553
690.553
692.866
694.593
694.593
692.501
692.501
691.313
694.293
694.293
693.747
693.747
691.367
690.498
690.498
693.215
693.215
693.748
690.428
690.428
690.673
690.673
693.913
693.247
693.247
690.152
690.152
690.398
693.483
693.483
693.998
693.998
691.127
690.67
690.67
691.865
691.865
692.115
690.807
690.807
690.955
690.955
692.17
692.015
692.015
689.618
689.618
690.421
692.62
692.62
691.738
691.738
689.432
689.868
689.868
691.832
691.832
690.536
